date	etime	name	nbcell	nbrun	nbvalid	success	time	output
2017-08-25 11:29:25.355042	9.224921099999989	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_about_files.ipynb	12	12	12	True	2.340793899999994	
2017-08-25 13:31:03.990861	9.229443599999996	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_about_files.ipynb	12	12	12	True	2.163220199999984	
2017-08-25 15:39:14.591088	9.247636900000003	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_about_files.ipynb	12	12	12	True	2.131668000000019	
2017-08-25 15:45:11.886165	9.298429999999996	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\check_matplotlib_backend.ipynb	8	8	8	True	2.492230099999915	
2017-08-25 15:45:28.238684	16.35153809999997	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\compare_python_distribution.ipynb	8	8	8	True	8.930321300000061	
2017-08-25 15:45:38.425845	10.18773340000007	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_about_files.ipynb	12	12	12	True	2.69513040000004	
2017-08-25 15:45:46.634111	8.207863599999996	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_completion.ipynb	8	8	8	True	1.2133767000000262	
2017-08-25 15:45:56.863008	10.227525099999982	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_documentation.ipynb	6	6	6	True	2.761904200000004	
2017-08-25 15:46:06.044192	9.178456299999992	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_pyquickhelper.ipynb	9	8	8	True	1.2940581000000293	
2017-08-25 15:46:13.235820	7.184204099999987	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_with_comments.ipynb	3	3	3	True	0.1476865000000771	
